Country,countrycode,region,students
Seychelles,SYC,Sub-Saharan Africa,237.0
Saint Kitts And Nevis,KNA,Latin America and Caribbean,239.0
Tonga,TON,East Asia and Pacific,324.0
Sao Tome And Principe,STP,Sub-Saharan Africa,371.0
Comoros,COM,Sub-Saharan Africa,646.0
Solomon Islands,SLB,East Asia and Pacific,1322.0
San Marino,SMR,Europe and Central Asia,1337.0
Belize,BLZ,Latin America and Caribbean,2051.0
Faroe Islands,FRO,Europe and Central Asia,2118.0
Aruba,ABW,Latin America and Caribbean,3870.0
Monaco,MCO,Europe and Central Asia,4922.0
Liechtenstein,LIE,Europe and Central Asia,5530.0
Guinea Bissau,GNB,Sub-Saharan Africa,5885.0
Andorra,AND,Europe and Central Asia,7431.0
Timor Leste,TLS,East Asia and Pacific,8953.0
Samoa,WSM,East Asia and Pacific,12020.0
The Gambia,GMB,Sub-Saharan Africa,14929.0
France - French Polynesia,PYF,East Asia and Pacific,15063.0
"Bahamas, The",BHS,Latin America and Caribbean,16797.0
Djibouti,DJI,Middle East and North Africa,20306.0
Equatorial Guinea,GNQ,Sub-Saharan Africa,21257.0
Sierra Leone,SLE,Sub-Saharan Africa,21697.0
Luxembourg,LUX,Europe and Central Asia,22979.0
Grenada,GRD,Latin America and Caribbean,25147.0
Iceland,ISL,Europe and Central Asia,26448.0
Suriname,SUR,Latin America and Caribbean,30628.0
Brunei Darussalam,BRN,East Asia and Pacific,31151.0
Lesotho,LSO,Sub-Saharan Africa,37563.0
Barbados,BRB,Latin America and Caribbean,38702.0
Eritrea,ERI,Sub-Saharan Africa,40507.0
Central African Republic,CAF,Sub-Saharan Africa,43370.0
Eswatini,SWZ,Sub-Saharan Africa,45998.0
Guyana,GUY,Latin America and Caribbean,46336.0
South Sudan,SSD,Sub-Saharan Africa,50265.0
Bhutan,BTN,South Asia,53416.0
Cabo Verde,CPV,Sub-Saharan Africa,55968.0
Maldives,MDV,South Asia,57035.0
Qatar,QAT,Middle East and North Africa,66520.0
Malta,MLT,Middle East and North Africa,68326.0
Chad,TCD,Sub-Saharan Africa,81171.0
Mauritius,MUS,Sub-Saharan Africa,86759.0
Burundi,BDI,Sub-Saharan Africa,92085.0
Haiti,HTI,Latin America and Caribbean,102830.0
Papua New Guinea,PNG,East Asia and Pacific,109784.0
Niger,NER,Sub-Saharan Africa,110442.0
Fiji,FJI,East Asia and Pacific,122996.0
Rwanda,RWA,Sub-Saharan Africa,130323.0
Mauritania,MRT,Sub-Saharan Africa,132515.0
"Congo, Rep",COG,Sub-Saharan Africa,141940.0
Trinidad And Tobago,TTO,Latin America and Caribbean,142461.0
Liberia,LBR,Sub-Saharan Africa,144010.0
Mali,MLI,Sub-Saharan Africa,151665.0
Botswana,BWA,Sub-Saharan Africa,153183.0
Montenegro,MNE,Europe and Central Asia,164191.0
Gabon,GAB,Sub-Saharan Africa,166955.0
Malawi,MWI,Sub-Saharan Africa,169732.0
Bahrain,BHR,Middle East and North Africa,171507.0
Turkmenistan,TKM,Europe and Central Asia,190630.0
Togo,TGO,Sub-Saharan Africa,193161.0
Cyprus,CYP,Europe and Central Asia,240620.0
Lao Pdr,LAO,East Asia and Pacific,251645.0
Jamaica,JAM,Latin America and Caribbean,254624.0
Zambia,ZMB,Sub-Saharan Africa,270518.0
Mozambique,MOZ,Sub-Saharan Africa,273157.0
Estonia,EST,Europe and Central Asia,290374.0
Burkina Faso,BFA,Sub-Saharan Africa,329367.0
Singapore,SGP,East Asia and Pacific,351936.0
Somalia,SOM,Sub-Saharan Africa,361610.0
Namibia,NAM,Sub-Saharan Africa,367130.0
Kuwait,KWT,Middle East and North Africa,410512.0
Zimbabwe,ZWE,Sub-Saharan Africa,423472.0
United Arab Emirates,ARE,Middle East and North Africa,447162.0
Denmark,DNK,Europe and Central Asia,489252.0
Tajikistan,TJK,Europe and Central Asia,519605.0
Madagascar,MDG,Sub-Saharan Africa,524872.0
Afghanistan,AFG,South Asia,555026.0
Albania,ALB,Europe and Central Asia,558980.0
Uganda,UGA,Sub-Saharan Africa,560941.0
North Macedonia,MKD,Europe and Central Asia,564559.0
Angola,AGO,Sub-Saharan Africa,588468.0
Yemen,YEM,Middle East and North Africa,599588.0
Senegal,SEN,Sub-Saharan Africa,599702.0
Tanzania,TZA,Sub-Saharan Africa,605362.0
