countrycode,students
ABW,3870
AFG,555026
AGO,588468
ALB,558980
AND,7431
ARE,447162
ARG,11907365
ARM,1054353
AUS,8151086
AUT,2583891
AZE,1699585
BDI,92085
BEL,997207
BEN,707178
BFA,329367
BGD,5430354
BGR,1896312
BHR,171507
BHS,16797
BIH,806304
BLR,2514917
BLZ,2051
BOL,2667842
BRA,32573449
BRB,38702
BRN,31151
BTN,53416
BWA,153183
CAF,43370
CAN,15739589
CHE,1636539
CHL,4182734
CHN,63595771
CIV,1037943
CMR,938866
COD,935307
COG,141940
COL,11452806
COM,646
CPV,55968
CRI,1254519
CUB,1770174
CYP,240620
CZE,2319657
DEU,18990964
DJI,20306
DNK,489252
DOM,2644678
DZA,4493616
ECU,3283408
EGY,12292342
ERI,40507
ESP,11925594
EST,290374
ETH,2521441
FIN,793685
FJI,122996
FRA,16069902
FRO,2118
GAB,166955
GBR,32752878
GEO,991835
GHA,1278717
GIN,627202
GMB,14929
GNB,5885
GNQ,21257
GRC,2210980
GRD,25147
GTM,15508030
GUY,46336
HKG,1058519
HND,816431
HRV,1265566
HTI,102830
HUN,906742
IDN,17201532
IND,97583864
IRL,4105582
IRN,17325572
IRQ,3123419
ISL,26448
ISR,2399533
ITA,16490616
JAM,254624
JOR,1339073
JPN,26212898
KAZ,3559611
KEN,2044753
KGZ,1065576
KHM,1025157
KNA,239
KOR,14692294
KWT,410512
LAO,251645
LBN,1308402
LBR,144010
LBY,1217155
LIE,5530
LKA,826366
LSO,37563
LTU,1027555
LUX,22979
LVA,680581
MAR,3028018
MCO,4922
MDA,858509
MDG,524872
MDV,57035
MEX,28615985
MKD,564559
MLI,151665
MLT,68326
MMR,9118549
MNE,164191
MNG,609795
MOZ,273157
MRT,132515
MUS,86759
MWI,169732
MYS,3536357
NAM,367130
NER,110442
NGA,6006787
NIC,1080902
NLD,4480908
NOR,908423
NPL,1863882
NZL,2448365
OMN,692807
PAK,5738757
PAN,1415537
PER,5610259
PHL,38929878
PNG,109784
POL,11021514
PRK,6679728
PRT,2225578
PRY,1463057
PSE,1099883
PYF,15063
QAT,66520
ROU,2995041
RUS,34933929
RWA,130323
SAU,4218575
SDN,2079138
SEN,599702
SGP,351936
SLB,1322
SLE,21697
SLV,949675
SMR,1337
SOM,361610
SRB,1943469
SSD,50265
STP,371
SUR,30628
SVK,1517846
SVN,683351
SWE,1942332
SWZ,45998
SYC,237
SYR,3084927
TCD,81171
TGO,193161
THA,12680068
TJK,519605
TKM,190630
TLS,8953
TON,324
TTO,142461
TUN,1367634
TUR,13446868
TZA,605362
UGA,560941
UKR,13085616
URY,1210473
USA,53203189
UZB,2740467
VEN,5862043
VNM,6963903
WSM,12020
YEM,599588
ZAF,4938872
ZMB,270518
ZWE,423472
