latitude,longitude,incomegroup,private01,Number of Student
-46.4136079,168.3553197,High income,0.0,98731.0
-45.8660729,170.5183321,High income,0.0,77308.0
-45.8646835,170.5144227,High income,0.0,151907.0
-43.6451128,172.4640507,High income,0.0,31653.0
-43.5378897,172.6442174,High income,0.0,190219.0
-43.5224836,172.5794354,High income,0.0,133438.0
-41.3097143,174.7803782,High income,1.0,48.0
-41.3077788,174.7742709,High income,1.0,15496.0
-41.301582,174.7760989,High income,0.0,76530.0
-41.2901075,174.7678789,High income,0.0,147192.0
-41.2753759,173.2885334,High income,0.0,24179.0
-40.7499723,175.1352206,High income,0.0,42393.0
-40.3902585,175.6394326,High income,1.0,2937.0
-40.3867649,175.619553,High income,0.0,272045.0
-40.386138,175.6168551,High income,0.0,229885.0
-40.3522695,175.6134364,High income,0.0,5925.0
-39.546731,176.8374858,High income,0.0,73354.0
-39.0365363,174.1418889,High income,1.0,12084.0
-37.958894,176.9904056,High income,0.0,36999.0
-37.789919,175.278751,High income,0.0,126829.0
-37.7868611,175.3184579,High income,0.0,89909.0
-36.9920383,174.8795759,High income,1.0,13798.0
-36.889292,174.795193,High income,1.0,14803.0
-36.8799132,174.7070652,High income,0.0,208036.0
-36.8735583,174.7208374,High income,1.0,6340.0
-36.8536098,174.7664805,High income,0.0,256759.0
-36.7339123,174.701414,High income,0.0,46851.0
-29.4512856,27.7206302,Lower middle income,0.0,35872.0
-28.8732623,28.051251,Lower middle income,1.0,1691.0
-27.3375507,-55.8602499,Upper middle income,1.0,9688.0
-27.3327608,-55.8707977,Upper middle income,1.0,17619.0
-26.8532443,-58.3097348,Upper middle income,0.0,48258.0
-26.5192089,-55.2671011,Upper middle income,0.0,44956.0
-26.2972959,32.1948812,Low income,1.0,2524.0
-25.9920218,32.4253148,Low income,0.0,4232.0
-25.9815604,32.5851488,Low income,0.0,4847.0
-25.9773763,32.5815317,Low income,1.0,5316.0
-25.9733367,32.5920303,Low income,1.0,2265.0
-25.972941,32.5858861,Low income,0.0,14897.0
-25.9725388,32.572639,Low income,1.0,2706.0
-25.9720869,32.5880763,Low income,1.0,3160.0
-25.9719329,32.5718055,Low income,1.0,2264.0
-25.9704976,32.5770452,Low income,0.0,5076.0
-25.9697944,32.5776131,Low income,1.0,2541.0
-25.9689502,32.5908546,Low income,0.0,5075.0
-25.9658918,32.5671458,Low income,1.0,9023.0
-25.9657958,32.574112,Low income,1.0,2265.0
-25.964211,32.5678942,Low income,0.0,1201.0
-25.9633251,32.5808704,Low income,1.0,2707.0
-25.9630742,32.5847558,Low income,1.0,3778.0
-25.96266,32.587461,Low income,1.0,1705.0
-25.9582699,32.5860474,Low income,1.0,1705.0
-25.9553185,32.5546869,Low income,1.0,3052.0
-25.9521498,32.6035601,Low income,0.0,114818.0
-25.9502663,32.5654665,Low income,1.0,2264.0
-25.9450375,32.5937817,Low income,1.0,2264.0
-25.9375453,32.5310294,Low income,1.0,2262.0
-25.9030626,32.4956185,Low income,1.0,311.0
-25.8213687,32.5806467,Low income,0.0,8883.0
-25.7822422,-56.4447606,Upper middle income,1.0,9321.0
-25.7662763,-56.4455546,Upper middle income,0.0,20090.0
-25.5259073,-54.611411,Upper middle income,1.0,11443.0
-25.5114403,-54.6295961,Upper middle income,1.0,9692.0
-25.4839418,-54.6708514,Upper middle income,0.0,48274.0
-25.4758287,-54.6237193,Upper middle income,1.0,17453.0
-25.4686366,-56.010716,Upper middle income,0.0,8428.0
-25.4534472,-56.0220719,Upper middle income,1.0,9328.0
-25.4173507,-57.4560664,Upper middle income,1.0,9696.0
-25.3552631,-57.4416287,Upper middle income,1.0,8034.0
-25.3497985,-57.5019517,Upper middle income,1.0,9688.0
-25.3430084,-57.579377,Upper middle income,1.0,9692.0
-25.3422251,-57.5106887,Upper middle income,1.0,9688.0
-25.3413076,-57.6032783,Upper middle income,1.0,13845.0
-25.3357603,-57.5197398,Upper middle income,0.0,314134.0
-25.3308539,-57.5194905,Upper middle income,1.0,8030.0
-25.3296155,-57.5325771,Upper middle income,1.0,13845.0
-25.3239097,-57.6404501,Upper middle income,1.0,151956.0
-25.3231471,-57.6256088,Upper middle income,1.0,11280.0
-25.319737,-57.5832128,Upper middle income,0.0,37934.0
-25.3114785,-57.5877372,Upper middle income,1.0,8021.0
-25.3053986,-57.5887911,Upper middle income,1.0,9688.0
-25.3046177,-57.6117481,Upper middle income,1.0,9328.0
-25.3026064,-57.6200452,Upper middle income,0.0,21935.0
-25.2985622,-57.5808978,Upper middle income,1.0,9328.0
-25.2944432,-57.5835683,Upper middle income,1.0,13494.0
-25.2933857,-57.6154107,Upper middle income,1.0,8529.0
-25.2930134,-57.6444972,Upper middle income,1.0,9330.0
-25.2922477,-57.5971946,Upper middle income,1.0,9318.0
-25.2921771,-57.6453146,Upper middle income,1.0,8025.0
-25.2913577,-57.6212846,Upper middle income,1.0,9321.0
-25.2913137,-57.6272771,Upper middle income,1.0,9696.0
-25.290859,-57.5867395,Upper middle income,1.0,9688.0
-25.288448,-57.64311,Upper middle income,1.0,11441.0
-25.2873398,-57.6431273,Upper middle income,1.0,45957.0
-25.2867981,-57.5725747,Upper middle income,1.0,13485.0
-25.2865191,-57.609855,Upper middle income,1.0,5953.0
-25.2861305,-57.6181785,Upper middle income,1.0,83514.0
-25.2859002,-57.6297954,Upper middle income,1.0,18150.0
-25.284651,-57.643603,Upper middle income,1.0,9324.0
-25.2824121,-57.5932115,Upper middle income,1.0,12428.0
-25.2823714,-57.4886807,Upper middle income,1.0,12423.0
-25.2823649,-57.6445038,Upper middle income,1.0,9804.0
-25.2823426,-57.4988129,Upper middle income,1.0,8209.0
-25.2807615,-57.6320013,Upper middle income,1.0,17289.0
-25.280574,-57.6440353,Upper middle income,1.0,9699.0
-25.2805458,-57.6430491,Upper middle income,1.0,32195.0
-25.2797222,-57.6479334,Upper middle income,1.0,3150.0
-25.278563,-57.599466,Upper middle income,1.0,18654.0
-25.2771549,-57.5991821,Upper middle income,1.0,9318.0
-25.2747372,-57.5941533,Upper middle income,1.0,11443.0
-25.2659442,-57.5927301,Upper middle income,1.0,9318.0
-25.2656903,-57.5818858,Upper middle income,1.0,9804.0
-25.2370319,-57.5378703,Upper middle income,1.0,9324.0
-24.58699,33.0605822,Low income,0.0,5077.0
-24.4815362,-55.7060312,Upper middle income,0.0,33014.0
-24.0567105,-54.3099729,Upper middle income,1.0,9692.0
-23.4094405,-57.4121797,Upper middle income,0.0,32981.0
-23.368429,43.6733553,Low income,0.0,12702.0
-23.3292083,43.6987046,Low income,0.0,16686.0
-22.6109629,17.0580415,Upper middle income,0.0,109407.0
-22.565785,17.0773438,Upper middle income,0.0,41650.0
-22.5612084,17.0568877,Upper middle income,1.0,29367.0
-22.5560164,17.0858699,Upper middle income,1.0,186706.0
-21.5835307,46.6340745,Low income,0.0,36923.0
-21.4644509,47.1091629,Low income,0.0,11715.0
-21.4551361,47.0933929,Low income,0.0,6627.0
-21.4546147,47.0875045,Low income,1.0,2986.0
-20.2680524,57.4163321,High income,0.0,13825.0
-20.2397809,57.4534928,High income,0.0,3211.0
-20.2342154,57.4980829,High income,0.0,6837.0
-20.234135,57.4977906,High income,0.0,46858.0
-20.2333283,57.4992818,High income,0.0,5675.0
-20.223361,57.5025089,High income,0.0,6513.0
-20.0971791,57.5578807,High income,0.0,3840.0
-19.8471489,34.8651022,Low income,1.0,16685.0
-19.8321903,34.8649604,Low income,0.0,6013.0
-19.8315949,34.8370183,Low income,1.0,3160.0
-19.8140417,47.0702469,Low income,1.0,3545.0
-19.0433869,33.4042681,Low income,0.0,5077.0
-18.9933157,47.5338331,Low income,1.0,4203.0
-18.9543195,32.8472869,Low income,1.0,1704.0
-18.9329688,47.5356752,Low income,1.0,2607.0
-18.9237371,47.5435122,Low income,1.0,8315.0
-18.9199215,47.5238375,Low income,0.0,4650.0
-18.9186234,47.5515962,Low income,0.0,6127.0
-18.9164441,47.5669912,Low income,1.0,6865.0
-18.9156032,47.5551749,Low income,0.0,7044.0
-18.915518,47.5255388,Low income,1.0,2692.0
-18.9143799,47.5083273,Low income,1.0,2692.0
-18.9142896,47.5578618,Low income,0.0,384.0
-18.914032,47.5518117,Low income,0.0,252790.0
-18.9065707,47.5304818,Low income,1.0,2500.0
-18.9045498,47.5064122,Low income,0.0,8276.0
-18.9018367,47.5098042,Low income,1.0,1933.0
-18.8991892,47.5229659,Low income,1.0,3046.0
-18.8990719,47.5247708,Low income,0.0,6984.0
-18.8967925,32.6013218,Low income,1.0,4465.0
-18.8954567,47.546108,Low income,0.0,6238.0
-18.893622,47.542487,Low income,1.0,3983.0
-18.8817819,47.500076,Low income,1.0,2693.0
-18.8717555,47.5279787,Low income,1.0,3864.0
-18.8685781,47.5267178,Low income,1.0,3544.0
-18.860302,47.5370466,Low income,0.0,7114.0
-18.133839,49.3771357,Low income,0.0,16970.0
-18.0249985,-70.2505346,Upper middle income,0.0,40905.0
-18.0155585,-70.242308,Upper middle income,1.0,11084.0
-18.0103643,-70.2441496,Upper middle income,1.0,5373.0
-18.0048523,-70.2261172,Upper middle income,1.0,36001.0
-17.6018648,-71.3409648,Upper middle income,0.0,21079.0
-16.4495688,-71.6002785,Upper middle income,1.0,14121.0
-16.4061786,-71.5476298,Upper middle income,1.0,103588.0
-16.3971385,-71.5371437,Upper middle income,0.0,218198.0
-16.3900752,-71.5354639,Upper middle income,1.0,7153.0
-16.3864719,-71.5395378,Upper middle income,0.0,11924.0
-16.1308491,33.6063201,Low income,0.0,5077.0
-15.8395008,-70.0295166,Upper middle income,1.0,14099.0
-15.8263505,35.1764095,Low income,1.0,9560.0
-15.8243805,-70.0162544,Upper middle income,0.0,62633.0
-15.8071372,35.0224853,Low income,1.0,3983.0
-15.8047326,35.0409378,Low income,1.0,4347.0
-15.8022414,35.0243604,Low income,1.0,5099.0
-15.80186,35.0157538,Low income,0.0,8436.0
-15.8016562,35.027058,Low income,0.0,10629.0
-15.7476144,34.9969258,Low income,1.0,2936.0
-15.7241559,46.3069799,Low income,0.0,6641.0
-15.7013589,46.3539638,Low income,0.0,12233.0
-15.6178253,32.7704921,Low income,0.0,4232.0
-15.532748,-70.118667,Upper middle income,1.0,48782.0
-15.4881271,-70.1497667,Upper middle income,0.0,17232.0
-15.3892358,35.3372455,Low income,0.0,52419.0
-15.1862386,39.3145854,Low income,1.0,3459.0
-15.1187942,39.1992777,Low income,0.0,3049.0
-14.4811258,35.2735341,Low income,1.0,2938.0
-14.1796138,33.778309,Low income,0.0,21997.0
-14.0871322,-75.7335148,Upper middle income,0.0,79084.0
-14.0767574,-75.7358858,Upper middle income,1.0,17944.0
-13.9960782,33.7728324,Low income,1.0,2627.0
-13.9822047,33.7876273,Low income,0.0,9899.0
-13.9764927,33.7771932,Low income,1.0,3059.0
-13.8744958,33.8086437,Low income,1.0,2938.0
-13.6572948,-73.3879058,Upper middle income,0.0,21079.0
-13.6175535,-72.8681731,Upper middle income,0.0,12648.0
-13.5525781,-71.8652828,Upper middle income,0.0,17248.0
-13.5290613,-71.9704979,Upper middle income,1.0,22919.0
-13.5255413,-71.9515765,Upper middle income,1.0,14121.0
-13.5242195,-71.9436937,Upper middle income,1.0,11091.0
-13.4153896,-76.1305698,Upper middle income,1.0,16259.0
-13.1612479,-74.2257722,Upper middle income,0.0,22916.0
-13.1486397,-74.2284139,Upper middle income,0.0,17248.0
-13.0731392,-76.3678583,Upper middle income,0.0,17243.0
-13.0731319,-76.3678548,Upper middle income,1.0,16252.0
-12.9875657,-74.721313,Upper middle income,1.0,16252.0
-12.9399318,-74.2436828,Upper middle income,0.0,12753.0
-12.8604607,-72.6921444,Upper middle income,1.0,11091.0
-12.8568505,-72.6917239,Upper middle income,0.0,17248.0
-12.842196,-74.5632058,Upper middle income,0.0,93300.0
-12.2828708,49.3071559,Low income,0.0,4238.0
-12.2819627,49.3064147,Low income,0.0,13153.0
-12.2805712,49.2968712,Low income,0.0,1302.0
-12.2791797,49.2873277,Low income,0.0,6127.0
-12.2216386,-76.9767202,Upper middle income,1.0,75719.0
-12.2142873,-76.932559,Upper middle income,0.0,21080.0
-12.196303,-77.006215,Upper middle income,1.0,59291.0
-12.195444,-76.9719561,Upper middle income,1.0,14104.0
-12.13674,-77.0060564,Upper middle income,1.0,5375.0
-12.1353732,-77.0220855,Upper middle income,1.0,11084.0
-12.134611,-76.979023,Upper middle income,1.0,14104.0
-12.1318477,-76.9796467,Upper middle income,1.0,137045.0
-12.1312752,-77.0256254,Upper middle income,1.0,14116.0
-12.1108158,-76.9912972,Upper middle income,1.0,12264.0
-12.104061,-76.962902,Upper middle income,1.0,80896.0
-12.0857224,-76.9086688,Upper middle income,1.0,7481.0
-12.0849556,-77.0547406,Upper middle income,0.0,34040.0
-12.0847243,-76.9710095,Upper middle income,1.0,106172.0
-12.0840468,-75.2084877,Upper middle income,1.0,11091.0
-12.0837969,-77.048806,Upper middle income,1.0,27105.0
-12.0836816,-77.0691681,Upper middle income,1.0,38327.0
