University,latitude,longitude,Foundedin,incomegroup,Number of Student
17 August 1945 University Cirebon,-6.7357541,108.5352532,1962.0,Upper middle income,10005
17 August 1945 University Jakarta,-6.1324723,106.8619702,1945.0,Upper middle income,22956
17 August 1945 University Samarinda,-0.4804156,117.1345269,1965.0,Upper middle income,9962
17 August 1945 University Semarang,-6.9746476,110.4195756,1963.0,Upper middle income,73931
17 August 1945 University Surabaya,-7.2984521,112.7667651,1956.0,Upper middle income,56925
1745 University Of Banyuwangi August,-8.2292897,114.3639101,1980.0,Upper middle income,9000
20 August 1955 University Of Skikda,36.8488017,6.8893321,1986.0,Lower middle income,91258
21St Century University Centre,20.0685351,-98.7798109,1997.0,Upper middle income,10660
2Ife/2Iae Group - International Institute For Entrepreneurship Training,5.3652358,-3.95788,2006.0,Lower middle income,6613
8 May 1945 University Of Guelma,36.4515943,7.4189174,1992.0,Lower middle income,61118
A'Sharqiyah University,22.7824181,58.5207561,2009.0,High income,6021
A. Myrzakhmetova Kokshetau University,53.2894288,69.3924614,2000.0,Upper middle income,13279
A.D. Patel Institute Of Technology,22.5215561,72.9164636,2000.0,Lower middle income,6589
Aachen University Of Applied Sciences,50.7555785,6.0959188,1971.0,High income,65566
Aalborg University,55.6508514,12.5419012,1974.0,High income,20211
Aalen University,48.8377458,10.0743757,1962.0,High income,37587
Aan School Of Administrative Sciences,43.7840347,-79.2331848,1979.0,Upper middle income,9452
Aarhus School Of Architecture,56.1528674,10.1914257,1965.0,High income,8649
Aarhus School Of Marine And Technical Engineering,56.1588758,10.2153478,1896.0,High income,6291
Aba Institute Of Higher Education,36.0450083,50.5152977,2008.0,Upper middle income,10777
Abadan University Of Medical Sciences,30.3346052,48.3109436,1941.0,Upper middle income,19248
Abasyn University,34.03155,71.588159,2007.0,Lower middle income,6025
Abat Oliba Ceu University,41.4100867,2.1264279,2003.0,High income,6285
Abbottabad University Of Science And Technology,34.0681368,73.149019,2002.0,Lower middle income,13474
Abb��S Laghrour University Of Khenchela,35.4717243,7.0926288,2001.0,Lower middle income,22725
Abdelhafid Boussouf University Center Of Mila,36.4626699,6.2150328,2008.0,Lower middle income,16309
Abdelhamid Ibn Badis University Of Mostaganem,35.9325381,0.0878185,1978.0,Lower middle income,15239
Abdelhamid Mehri University Of Constantine 2,36.2460493,6.5700063,2011.0,Lower middle income,30275
Abdellah Arbaoui National School Of Hydraulic Engineering,36.510707,2.8904507,1972.0,Lower middle income,22664
Abdelmalek Essa��Di University,35.560596,-5.364568,1989.0,Lower middle income,163590
Abderahmane Mira University Of Bejaia,36.7502671,5.0407496,1983.0,Lower middle income,81634
Abdou Moumouni University Of Niamey,13.5033351,2.0831313,1971.0,Low income,44726
Abdul Haris School Of Administrative Sciences,-5.1811881,119.4115819,2005.0,Upper middle income,5544
Abdul Wali Khan University,34.1897214,72.0370018,2009.0,Lower middle income,27381
Abdullah Gul University,38.737118,35.473534,2010.0,Upper middle income,5558
Abdurachman Saleh University,-7.7085559,113.9944743,1981.0,Upper middle income,8573
Abdurrab University,0.534875,101.4184333,1979.0,Upper middle income,9010
Abe International Business College,14.6004093,120.9960359,1999.0,Lower middle income,25898
Aberystwyth University,52.4174567,-4.0638232,1872.0,High income,32338
Abidjan Institute Of Technology,5.2866067,-3.9751644,2006.0,Lower middle income,6613
Abm University College,-24.626106,25.8831748,1989.0,Upper middle income,5915
Abomey-Calavi University,6.4132594,2.3122884,1970.0,Lower middle income,293985
Abou Elkacem Sa��Dallah University Of Algiers 2,36.775758,3.003886,1984.0,Lower middle income,31419
Aboubar Teliversal,10.280075,9.79455,1980.0,Lower middle income,49248
Abra State Institute Of Sciences And Technology,17.6055307,120.675984,1908.0,Lower middle income,63043
Abra Valley Colleges,17.596565,120.6170749,1948.0,Lower middle income,40924
Abraham Escudero Montoya University Foundation,4.1502618,-74.8838363,1997.0,Upper middle income,17184
Absomache University Wukari,7.8427731,9.7719628,2005.0,Lower middle income,9347
Abu Dhabi Polytechnic,24.3139171,54.5606911,2010.0,High income,6263
Abu Dhabi University,24.365309,54.562999,2003.0,High income,20647
Abu University Center,-22.7598879,-43.4024869,1972.0,Upper middle income,34492
Abubakar Computer Learning Center Foundation,5.0102231,119.7474849,1996.0,Lower middle income,26074
Abulyatama University,5.5326968,95.3877625,1983.0,Upper middle income,52971
Academic Centre Of Advanced Studies,19.6240979,-99.2170985,1999.0,Upper middle income,10658
Academic College At Wingate,32.2596993,34.835075,1944.0,High income,10389
Academician K.I. Satpayev Ekibastuz Engineering And Technical Institute,51.7209952,75.2966431,1994.0,Upper middle income,11697
Academician Stepan Demianchuk International University Of Economics And Humanities,50.6097078,26.2885439,1993.0,Lower middle income,16131
Academician Y. Bugay International Scientific And Technical University,50.453114,30.637156,1993.0,Lower middle income,36107
Academy Of Advocacy Of Ukraine,50.445605,30.497638,1995.0,Lower middle income,13226
Academy Of Art In Bansk�� Bystrica,48.7404861,19.1560592,1997.0,High income,14572
Academy Of Art University,37.7862609,-122.3995327,1929.0,High income,63348
"Academy Of Arts, Architecture And Design In Prague",50.0887132,14.4147054,1885.0,High income,13126
Academy Of Choir Singing Named After V.S. Popov,45.3875812,-75.6960202,1991.0,Upper middle income,29326
Academy Of Civil Aviation,43.3549644,77.0053806,2000.0,Upper middle income,20566
Academy Of Civil Protection,55.891211,37.3508935,1933.0,Upper middle income,43599
Academy Of Economic Studies Of Moldova,47.0307401,28.8375592,1991.0,Lower middle income,75993
Academy Of Engineering Sciences,15.5567204,32.5099176,2002.0,Low income,8667
Academy Of Federal Security Guard Service Of The Russian Federation,55.6832065,37.4701097,2003.0,Upper middle income,23229
"Academy Of Finance, Vietnam",21.0753988,105.7728384,1963.0,Lower middle income,30791
Academy Of Fine Arts,-4.3213218,15.2933625,1943.0,Low income,7810
Academy Of Fine Arts In Gda��Sk,54.3506444,18.6489861,1945.0,High income,27644
Academy Of Fine Arts In Warsaw,52.2394019,21.0150792,1904.0,High income,8865
Academy Of Fine Arts Of Tournai - Tournai Arts Higher School,50.6078623,3.3903571,1756.0,High income,16629
Academy Of Fine Arts Vienna,48.2012533,16.3651029,1688.0,High income,10748
Academy Of Graduate Studies,32.8412517,13.0452781,1988.0,Upper middle income,20646
Academy Of Health Sciences,15.5015451,32.5725965,2005.0,Low income,8675
Academy Of Hotel Management And Catering In Poznan,52.415403,16.981153,1992.0,High income,10095
Academy Of Humanities And Technology,53.2981076,69.4080764,1992.0,Upper middle income,11706
Academy Of International Relations And American Studies,52.2270512,21.0016664,1997.0,High income,8760
Academy Of Korean Studies,37.3933073,127.0536615,1980.0,High income,22895
Academy Of Labour And Social Relations,55.6759999,37.4867074,1919.0,Upper middle income,29648
"Academy Of Labour, Social Relations And Tourism",50.37171,30.453812,1993.0,Lower middle income,13232
Academy Of Law And Management Of The Federal Penal Service,54.6299937,39.7329738,2013.0,Upper middle income,13213
Academy Of Management And Production,43.7824893,-79.1887005,1996.0,Upper middle income,12739
Academy Of Management Under The President Of The Republic Of Belarus,53.8925484,27.5489242,1991.0,Upper middle income,17437
Academy Of Maritime Education And Training University (Deemed To Be University),12.8542561,80.2394122,1993.0,Lower middle income,10494
Academy Of Marketing And Social Information Technology,55.7276731,37.6273467,1994.0,Upper middle income,14250
Academy Of Music Hanns Eisler Berlin,52.5134004,13.3911098,1950.0,High income,7183
Academy Of Music In Krak��W,50.0617184,19.9432165,1888.0,High income,30176
"Academy Of Music, Dance And Fine Arts In Plovdiv",42.1484525,24.7512756,1964.0,Upper middle income,8824
"Academy Of Music, Theatre And Fine Arts",47.0214073,28.8189528,1940.0,Lower middle income,25295
Academy Of Performing Arts In Bratislava,48.1425094,17.1063289,1949.0,High income,22048
Academy Of Performing Arts In Prague,50.0875442,14.4021302,1945.0,High income,10905
Academy Of Public Administration,47.0021339,28.7767017,1993.0,Lower middle income,18924
Academy Of Public Administration Under The President Of Kazakhstan,51.1681196,71.4202379,1994.0,Upper middle income,23284
Academy Of Recreational Technologies And Law,50.7761692,25.3767534,2014.0,Lower middle income,5386
Academy Of Scientific And Innovative Research,12.9878814,80.2470088,2011.0,Lower middle income,6145
Academy Of Social Education,55.8591978,49.1053627,1993.0,Upper middle income,14259
Academy Of Technology And Accountancy,5.3639344,-4.0023044,2009.0,Lower middle income,6622
Academy Of The Federal Security Service Of The Russian Federation,38.9240417,-77.0744142,1921.0,Upper middle income,44391
Academy Of The Ministry Of Interior - Sofia,42.6316397,23.3708328,2002.0,Upper middle income,10197
Academy Of The Ministry Of Internal Affairs,38.5516415,68.8232744,2000.0,Low income,7501
Academy Of The Ministry Of Internal Affairs Of The Republic Of Belarus,53.9121062,27.5764513,1958.0,Upper middle income,117261
Academy Of The Police Force In Bratislava,48.2017461,17.1667846,1992.0,High income,16062
Academy Of Tourism And Hotel Management In Gdansk,54.3771215,18.6147622,1996.0,High income,8763
Academy Stefan The Great,47.0030839,28.8244484,1990.0,Lower middle income,20293
Acadia University,45.0875592,-64.3662493,1838.0,High income,39767
Access Computer And Technical College,14.6298372,121.0701042,1981.0,Lower middle income,33805
Accountancy And International Business College,43.8023785,-79.1993904,2005.0,Upper middle income,14122
Accra Technical University,5.5542469,-0.2059627,1949.0,Lower middle income,28428
Aces Tagum College,7.457318,125.7919242,2000.0,Lower middle income,25892
