Country,countrycode,region,students
Seychelles,SYC,Sub-Saharan Africa,237
Saint Kitts And Nevis,KNA,Latin America and Caribbean,239
Tonga,TON,East Asia and Pacific,324
Sao Tome And Principe,STP,Sub-Saharan Africa,371
Comoros,COM,Sub-Saharan Africa,646
Solomon Islands,SLB,East Asia and Pacific,1322
San Marino,SMR,Europe and Central Asia,1337
Belize,BLZ,Latin America and Caribbean,2051
Faroe Islands,FRO,Europe and Central Asia,2118
Aruba,ABW,Latin America and Caribbean,3870
Monaco,MCO,Europe and Central Asia,4922
Liechtenstein,LIE,Europe and Central Asia,5530
Guinea Bissau,GNB,Sub-Saharan Africa,5885
Andorra,AND,Europe and Central Asia,7431
Timor Leste,TLS,East Asia and Pacific,8953
Samoa,WSM,East Asia and Pacific,12020
The Gambia,GMB,Sub-Saharan Africa,14929
France - French Polynesia,PYF,East Asia and Pacific,15063
"Bahamas, The",BHS,Latin America and Caribbean,16797
Djibouti,DJI,Middle East and North Africa,20306
Equatorial Guinea,GNQ,Sub-Saharan Africa,21257
Sierra Leone,SLE,Sub-Saharan Africa,21697
Luxembourg,LUX,Europe and Central Asia,22979
Grenada,GRD,Latin America and Caribbean,25147
Iceland,ISL,Europe and Central Asia,26448
Suriname,SUR,Latin America and Caribbean,30628
Brunei Darussalam,BRN,East Asia and Pacific,31151
Lesotho,LSO,Sub-Saharan Africa,37563
Barbados,BRB,Latin America and Caribbean,38702
Eritrea,ERI,Sub-Saharan Africa,40507
Central African Republic,CAF,Sub-Saharan Africa,43370
Eswatini,SWZ,Sub-Saharan Africa,45998
Guyana,GUY,Latin America and Caribbean,46336
South Sudan,SSD,Sub-Saharan Africa,50265
Bhutan,BTN,South Asia,53416
Cabo Verde,CPV,Sub-Saharan Africa,55968
Maldives,MDV,South Asia,57035
Qatar,QAT,Middle East and North Africa,66520
Malta,MLT,Middle East and North Africa,68326
Chad,TCD,Sub-Saharan Africa,81171
Mauritius,MUS,Sub-Saharan Africa,86759
Burundi,BDI,Sub-Saharan Africa,92085
Haiti,HTI,Latin America and Caribbean,102830
Papua New Guinea,PNG,East Asia and Pacific,109784
Niger,NER,Sub-Saharan Africa,110442
Fiji,FJI,East Asia and Pacific,122996
Rwanda,RWA,Sub-Saharan Africa,130323
Mauritania,MRT,Sub-Saharan Africa,132515
"Congo, Rep",COG,Sub-Saharan Africa,141940
Trinidad And Tobago,TTO,Latin America and Caribbean,142461
Liberia,LBR,Sub-Saharan Africa,144010
Mali,MLI,Sub-Saharan Africa,151665
Botswana,BWA,Sub-Saharan Africa,153183
Montenegro,MNE,Europe and Central Asia,164191
Gabon,GAB,Sub-Saharan Africa,166955
Malawi,MWI,Sub-Saharan Africa,169732
Bahrain,BHR,Middle East and North Africa,171507
Turkmenistan,TKM,Europe and Central Asia,190630
Togo,TGO,Sub-Saharan Africa,193161
Cyprus,CYP,Europe and Central Asia,240620
Lao Pdr,LAO,East Asia and Pacific,251645
Jamaica,JAM,Latin America and Caribbean,254624
Zambia,ZMB,Sub-Saharan Africa,270518
Mozambique,MOZ,Sub-Saharan Africa,273157
Estonia,EST,Europe and Central Asia,290374
Burkina Faso,BFA,Sub-Saharan Africa,329367
Singapore,SGP,East Asia and Pacific,351936
Somalia,SOM,Sub-Saharan Africa,361610
Namibia,NAM,Sub-Saharan Africa,367130
Kuwait,KWT,Middle East and North Africa,410512
Zimbabwe,ZWE,Sub-Saharan Africa,423472
United Arab Emirates,ARE,Middle East and North Africa,447162
Denmark,DNK,Europe and Central Asia,489252
Tajikistan,TJK,Europe and Central Asia,519605
Madagascar,MDG,Sub-Saharan Africa,524872
Afghanistan,AFG,South Asia,555026
Albania,ALB,Europe and Central Asia,558980
Uganda,UGA,Sub-Saharan Africa,560941
North Macedonia,MKD,Europe and Central Asia,564559
Angola,AGO,Sub-Saharan Africa,588468
Yemen,YEM,Middle East and North Africa,599588
Senegal,SEN,Sub-Saharan Africa,599702
Tanzania,TZA,Sub-Saharan Africa,605362
Mongolia,MNG,East Asia and Pacific,609795
Guinea,GIN,Sub-Saharan Africa,627202
Latvia,LVA,Europe and Central Asia,680581
Slovenia,SVN,Europe and Central Asia,683351
Oman,OMN,Middle East and North Africa,692807
Benin,BEN,Sub-Saharan Africa,707178
Finland,FIN,Europe and Central Asia,793685
Bosnia And Herzegovina,BIH,Europe and Central Asia,806304
Honduras,HND,Latin America and Caribbean,816431
Sri Lanka,LKA,South Asia,826366
Moldova,MDA,Europe and Central Asia,858509
Hungary,HUN,Europe and Central Asia,906742
Norway,NOR,Europe and Central Asia,908423
"Congo, Dem Rep",COD,Sub-Saharan Africa,935307
Cameroon,CMR,Sub-Saharan Africa,938866
El Salvador,SLV,Latin America and Caribbean,949675
Georgia,GEO,Europe and Central Asia,991835
Belgium,BEL,Europe and Central Asia,997207
Cambodia,KHM,East Asia and Pacific,1025157
Lithuania,LTU,Europe and Central Asia,1027555
Cote D'Ivoire,CIV,Sub-Saharan Africa,1037943
Armenia,ARM,Europe and Central Asia,1054353
China - Hong Kong,HKG,East Asia and Pacific,1058519
Kyrgyz Republic,KGZ,Europe and Central Asia,1065576
Nicaragua,NIC,Latin America and Caribbean,1080902
Palestine,PSE,Middle East and North Africa,1099883
Uruguay,URY,Latin America and Caribbean,1210473
Libya,LBY,Middle East and North Africa,1217155
Costa Rica,CRI,Latin America and Caribbean,1254519
Croatia,HRV,Europe and Central Asia,1265566
Ghana,GHA,Sub-Saharan Africa,1278717
Lebanon,LBN,Middle East and North Africa,1308402
Jordan,JOR,Middle East and North Africa,1339073
Tunisia,TUN,Middle East and North Africa,1367634
Panama,PAN,Latin America and Caribbean,1415537
Paraguay,PRY,Latin America and Caribbean,1463057
Slovak Republic,SVK,Europe and Central Asia,1517846
Switzerland,CHE,Europe and Central Asia,1636539
Azerbaijan,AZE,Europe and Central Asia,1699585
Cuba,CUB,Latin America and Caribbean,1770174
Nepal,NPL,South Asia,1863882
Bulgaria,BGR,Europe and Central Asia,1896312
Sweden,SWE,Europe and Central Asia,1942332
Serbia,SRB,Europe and Central Asia,1943469
Kenya,KEN,Sub-Saharan Africa,2044753
Sudan,SDN,Sub-Saharan Africa,2079138
Greece,GRC,Europe and Central Asia,2210980
Portugal,PRT,Europe and Central Asia,2225578
Czech Republic,CZE,Europe and Central Asia,2319657
Israel,ISR,Middle East and North Africa,2399533
New Zealand,NZL,East Asia and Pacific,2448365
Belarus,BLR,Europe and Central Asia,2514917
Ethiopia,ETH,Sub-Saharan Africa,2521441
Austria,AUT,Europe and Central Asia,2583891
Dominican Republic,DOM,Latin America and Caribbean,2644678
Bolivia,BOL,Latin America and Caribbean,2667842
Uzbekistan,UZB,Europe and Central Asia,2740467
