University,latitude,longitude,Foundedin,incomegroup,private01,Number of Student
17 August 1945 University Semarang,-6.9746476,110.4195756,1963.0,Upper middle income,1.0,73931.0
17 August 1945 University Surabaya,-7.2984521,112.7667651,1956.0,Upper middle income,1.0,56925.0
20 August 1955 University Of Skikda,36.8488017,6.8893321,1986.0,Lower middle income,0.0,91258.0
8 May 1945 University Of Guelma,36.4515943,7.4189174,1992.0,Lower middle income,0.0,61118.0
Aachen University Of Applied Sciences,50.7555785,6.0959188,1971.0,High income,0.0,65566.0
Aalen University,48.8377458,10.0743757,1962.0,High income,0.0,37587.0
Abdelhamid Mehri University Of Constantine 2,36.2460493,6.5700063,2011.0,Lower middle income,0.0,30275.0
Abdelmalek Essa��Di University,35.560596,-5.364568,1989.0,Lower middle income,0.0,163590.0
Abderahmane Mira University Of Bejaia,36.7502671,5.0407496,1983.0,Lower middle income,0.0,81634.0
Abdou Moumouni University Of Niamey,13.5033351,2.0831313,1971.0,Low income,1.0,44726.0
Aberystwyth University,52.4174567,-4.0638232,1872.0,High income,0.0,32338.0
Abomey-Calavi University,6.4132594,2.3122884,1970.0,Lower middle income,0.0,293985.0
Abou Elkacem Sa��Dallah University Of Algiers 2,36.775758,3.003886,1984.0,Lower middle income,0.0,31419.0
Aboubar Teliversal,10.280075,9.79455,1980.0,Lower middle income,0.0,49248.0
Abra State Institute Of Sciences And Technology,17.6055307,120.675984,1908.0,Lower middle income,0.0,63043.0
Abra Valley Colleges,17.596565,120.6170749,1948.0,Lower middle income,1.0,40924.0
Abu University Center,-22.7598879,-43.4024869,1972.0,Upper middle income,1.0,34492.0
Abulyatama University,5.5326968,95.3877625,1983.0,Upper middle income,1.0,52971.0
Academician Y. Bugay International Scientific And Technical University,50.453114,30.637156,1993.0,Lower middle income,1.0,36107.0
Academy Of Art University,37.7862609,-122.3995327,1929.0,High income,1.0,63348.0
Academy Of Civil Protection,55.891211,37.3508935,1933.0,Upper middle income,0.0,43599.0
